crime_id,Month,LSOAcode,crime_type,outcome,Longitude,Latitude,LAname
1,2017-01,E01004804,Burglary,Investigation complete; no suspect identified,-2.438458,53.626031,Bolton
2,2017-01,E01004804,Burglary,Investigation complete; no suspect identified,-2.435481,53.624711,Bolton
3,2017-01,E01004804,Burglary,Investigation complete; no suspect identified,-2.438458,53.626031,Bolton
4,2017-01,E01004804,Burglary,Investigation complete; no suspect identified,-2.436669,53.625525,Bolton
5,2017-01,E01004788,Burglary,Investigation complete; no suspect identified,-2.404133,53.611536,Bolton
6,2017-01,E01004788,Burglary,Investigation complete; no suspect identified,-2.404133,53.611536,Bolton
7,2017-01,E01004788,Burglary,Investigation complete; no suspect identified,-2.404133,53.611536,Bolton
8,2017-01,E01004790,Burglary,Investigation complete; no suspect identified,-2.398091,53.605463,Bolton
9,2017-01,E01004790,Burglary,Unable to prosecute suspect,-2.407259,53.601774,Bolton
10,2017-01,E01004806,Burglary,Investigation complete; no suspect identified,-2.408319,53.611432,Bolton
11,2017-01,E01004806,Burglary,Investigation complete; no suspect identified,-2.414105,53.614199,Bolton
12,2017-01,E01004806,Burglary,Investigation complete; no suspect identified,-2.411769,53.616526,Bolton
13,2017-01,E01004771,Burglary,Investigation complete; no suspect identified,-2.433582,53.610544,Bolton
14,2017-01,E01004771,Burglary,Investigation complete; no suspect identified,-2.433582,53.610544,Bolton
15,2017-01,E01004771,Burglary,Investigation complete; no suspect identified,-2.43496,53.609289,Bolton
16,2017-01,E01004809,Burglary,Investigation complete; no suspect identified,-2.426064,53.6144,Bolton
17,2017-01,E01004881,Burglary,Unable to prosecute suspect,-2.549809,53.598597,Bolton
18,2017-01,E01004881,Burglary,Investigation complete; no suspect identified,-2.54983,53.601311,Bolton
19,2017-01,E01004890,Burglary,Offender sent to prison,-2.547429,53.601448,Bolton
20,2017-01,E01004890,Burglary,Unable to prosecute suspect,-2.546628,53.599142,Bolton
21,2017-01,E01004766,Burglary,Investigation complete; no suspect identified,-2.43482,53.600077,Bolton
22,2017-01,E01004766,Burglary,Offender sent to prison,-2.440645,53.599327,Bolton
23,2017-01,E01004766,Burglary,Investigation complete; no suspect identified,-2.43482,53.600077,Bolton
24,2017-01,E01004766,Burglary,Investigation complete; no suspect identified,-2.440645,53.599327,Bolton
25,2017-01,E01004766,Burglary,Investigation complete; no suspect identified,-2.436246,53.599218,Bolton
26,2017-01,E01004766,Burglary,Unable to prosecute suspect,-2.436246,53.599218,Bolton
27,2017-01,E01004774,Burglary,Investigation complete; no suspect identified,-2.43497,53.602961,Bolton
28,2017-01,E01004774,Burglary,Investigation complete; no suspect identified,-2.440036,53.603302,Bolton
29,2017-01,E01004774,Burglary,Investigation complete; no suspect identified,-2.43564,53.603453,Bolton
30,2017-01,E01004785,Burglary,Investigation complete; no suspect identified,-2.383584,53.593987,Bolton
31,2017-01,E01004789,Burglary,Investigation complete; no suspect identified,-2.396327,53.618861,Bolton
32,2017-01,E01004789,Burglary,Investigation complete; no suspect identified,-2.373167,53.596618,Bolton
33,2017-01,E01004791,Burglary,Investigation complete; no suspect identified,-2.390868,53.603958,Bolton
34,2017-01,E01004792,Burglary,Investigation complete; no suspect identified,-2.375516,53.597401,Bolton
35,2017-01,E01004781,Burglary,Unable to prosecute suspect,-2.544165,53.593292,Bolton
36,2017-01,E01004781,Burglary,Investigation complete; no suspect identified,-2.534501,53.588878,Bolton
37,2017-01,E01004781,Burglary,Court result unavailable,-2.533384,53.587786,Bolton
38,2017-01,E01004882,Burglary,Investigation complete; no suspect identified,-2.544397,53.594864,Bolton
39,2017-01,E01004883,Burglary,Investigation complete; no suspect identified,-2.541538,53.593403,Bolton
40,2017-01,E01004884,Burglary,Unable to prosecute suspect,-2.520715,53.599266,Bolton
41,2017-01,E01004864,Burglary,Investigation complete; no suspect identified,-2.452497,53.595643,Bolton
42,2017-01,E01004864,Burglary,Investigation complete; no suspect identified,-2.447406,53.594305,Bolton
43,2017-01,E01004867,Burglary,Investigation complete; no suspect identified,-2.445236,53.591913,Bolton
44,2017-01,E01004867,Burglary,Investigation complete; no suspect identified,-2.447467,53.591446,Bolton
45,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.463782,53.589928,Bolton
46,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.463782,53.589928,Bolton
47,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.461571,53.58946,Bolton
48,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.463782,53.589928,Bolton
49,2017-01,E01004921,Burglary,Court case unable to proceed,-2.459337,53.589639,Bolton
50,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.463782,53.589928,Bolton
51,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.460078,53.589726,Bolton
52,2017-01,E01004921,Burglary,Investigation complete; no suspect identified,-2.462686,53.589195,Bolton
53,2017-01,E01004924,Burglary,Investigation complete; no suspect identified,-2.460055,53.600117,Bolton
54,2017-01,E01004924,Burglary,Investigation complete; no suspect identified,-2.454513,53.594817,Bolton
55,2017-01,E01004925,Burglary,Investigation complete; no suspect identified,-2.451717,53.590468,Bolton
56,2017-01,E01004925,Burglary,Investigation complete; no suspect identified,-2.454492,53.594296,Bolton
57,2017-01,E01004925,Burglary,Investigation complete; no suspect identified,-2.454729,53.591014,Bolton
58,2017-01,E01004925,Burglary,Investigation complete; no suspect identified,-2.454185,53.593857,Bolton
59,2017-01,E01004780,Burglary,Investigation complete; no suspect identified,-2.575987,53.587993,Bolton
60,2017-01,E01004780,Burglary,Investigation complete; no suspect identified,-2.56033,53.596579,Bolton
61,2017-01,E01004802,Burglary,Investigation complete; no suspect identified,-2.411112,53.60016,Bolton
62,2017-01,E01004927,Burglary,Investigation complete; no suspect identified,-2.414992,53.5891,Bolton
63,2017-01,E01004927,Burglary,Investigation complete; no suspect identified,-2.423245,53.592586,Bolton
64,2017-01,E01004927,Burglary,Investigation complete; no suspect identified,-2.419698,53.597452,Bolton
65,2017-01,E01004927,Burglary,Investigation complete; no suspect identified,-2.414898,53.58715,Bolton
66,2017-01,E01004929,Burglary,Investigation complete; no suspect identified,-2.411804,53.595277,Bolton
67,2017-01,E01004820,Burglary,Investigation complete; no suspect identified,-2.435276,53.591527,Bolton
68,2017-01,E01004820,Burglary,Investigation complete; no suspect identified,-2.433291,53.589494,Bolton
69,2017-01,E01004825,Burglary,Investigation complete; no suspect identified,-2.436099,53.595146,Bolton
70,2017-01,E01004826,Burglary,Investigation complete; no suspect identified,-2.441551,53.59349,Bolton
71,2017-01,E01004865,Burglary,Investigation complete; no suspect identified,-2.446372,53.593616,Bolton
72,2017-01,E01004865,Burglary,Investigation complete; no suspect identified,-2.448595,53.595262,Bolton
73,2017-01,E01004865,Burglary,Offender sent to prison,-2.446442,53.594533,Bolton
74,2017-01,E01004865,Burglary,Investigation complete; no suspect identified,-2.448595,53.595262,Bolton
75,2017-01,E01004866,Burglary,Investigation complete; no suspect identified,-2.445958,53.588719,Bolton
76,2017-01,E01004866,Burglary,Investigation complete; no suspect identified,-2.446158,53.58915,Bolton
